nummer,preis_avr,preis_sum,menge_avr,menge_sum,dauer,geschw,marke1,marke2,marke3,marke4,marke5,marke6,marke7,marke8,marke9,alter,klasse,einkm,persn,prbew,bildg,kaufw,last_dauer_relativ,treue1,treue2,treue3,treue4,treue5,treue6,treue7,treue8,treue9,einkmpp,Frequency,Monetary
45,1.48,46,1.064516129,33,28.58064516,0.062788119,0,9,1,14,0,3,0,2,2,2,3,2,1,2,3,3.428893905,98,NaN,0.777777778,0,0.714285714,NaN,0.666666667,NaN,0.5,0,2,33,1.48
46,1.86,54,1.620689655,47,26.31034483,0.165998494,4,2,0,0,2,5,0,7,9,5,1,3,2,1,3,0.20904325,5.5,0,0,NaN,NaN,0,0,NaN,0.285714286,0.111111111,1.5,47,1.86
49,1.71,48,1.035714286,29,35.25,0.053030084,3,0,23,0,0,0,0,0,2,2,3,3,4,1,2,0.624113475,22,0.333333333,NaN,0.782608696,NaN,NaN,NaN,NaN,NaN,0,0.75,29,1.71
50,2.44,78,1.09375,35,31.9375,0.079736024,10,16,0,0,0,0,0,0,6,4,3,3,2,1,1,0.281800391,9,0.1,0.3125,NaN,NaN,NaN,NaN,NaN,NaN,0.333333333,1.5,35,2.44
54,1.19,185,1.025641026,160,6.884615385,0.197741708,0,2,12,137,0,0,4,1,0,5,4,2,2,1,3,0.581005587,4,NaN,0,0.5,0.912408759,NaN,NaN,0.25,0,NaN,1,160,1.19
57,2.67,8,1,3,247.3333333,0.005337424,3,0,0,0,0,0,0,0,0,3,2,1,3,4,1,1.471698113,364,0.666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.333333333,3,2.67
59,2.3,138,1.05,63,15.06666667,0.109463768,47,1,0,0,0,0,0,0,12,2,4,3,3,1,2,1.261061947,19,0.85106383,0,NaN,NaN,NaN,NaN,NaN,NaN,0.5,1,63,2.3
61,1.7,194,1.210526316,138,8.938596491,0.186685027,0,0,72,1,2,4,0,1,34,3,1,1,4,1,2,0.33562316,3,NaN,NaN,0.805555556,0,0,0,NaN,0,0.558823529,0.25,138,1.7
64,2.11,19,1,9,99.44444444,0.020596193,2,0,0,2,0,2,0,0,3,2,1,4,4,4,2,1.85027933,184,0,NaN,NaN,0,NaN,0,NaN,NaN,0.333333333,1,9,2.11
67,2,58,2.551724138,74,13.86206897,0.448580716,0,10,1,1,0,0,0,0,17,5,3,3,2,1,2,0.360696517,5,NaN,0.4,0,0,NaN,NaN,NaN,NaN,0.588235294,1.5,74,2
70,2.18,194,1.95505618,174,6.752808989,0.453787516,46,26,0,0,0,0,0,0,17,4,1,2,2,2,2,0.444259567,3,0.695652174,0.5,NaN,NaN,NaN,NaN,NaN,NaN,0.117647059,1,174,2.18
77,2.62,160,1.016393443,62,18.24590164,0.106108449,18,0,0,1,0,0,0,0,42,4,3,3,3,1,2,1.315363881,24,0.055555556,NaN,NaN,0,NaN,NaN,NaN,NaN,0.595238095,1,62,2.62
80,2.19,94,1.023255814,44,24.58139535,0.070845377,2,5,0,0,0,0,0,0,36,5,5,1,1,1,2,0.244087039,6,0.5,0.8,NaN,NaN,NaN,NaN,NaN,NaN,0.944444444,1,44,2.19
81,2.27,134,1.033898305,61,18.71186441,0.095956777,0,4,4,5,1,0,10,24,11,4,1,1,2,4,1,0.106884058,2,NaN,0.25,0.25,0.2,0,NaN,0.2,0.583333333,0,0.5,61,2.27
84,1.68,143,1.317647059,112,10.91764706,0.192669186,0,0,78,0,0,1,0,2,4,2,2,4,4,2,3,0.183189655,2,NaN,NaN,0.923076923,NaN,NaN,0,NaN,0,0,1,112,1.68
87,1.65,252,1.006535948,154,7.549019608,0.17081517,0,1,0,0,1,3,2,145,1,4,1,1,2,4,1,0.52987013,4,NaN,0,NaN,NaN,0,0,0,0.944827586,0,0.5,154,1.65
91,1.76,188,1.028037383,110,10.22429907,0.124096522,9,10,48,11,0,1,0,0,28,5,3,2,1,4,3,0.68464351,7,0.111111111,0.3,0.625,0.272727273,NaN,0,NaN,NaN,0.25,2,110,1.76
99,1.71,228,1.030075188,137,8.022556391,0.167816136,12,1,101,1,0,2,0,0,16,3,3,3,3,1,3,1.246485473,10,0.083333333,0,0.772277228,0,NaN,0,NaN,NaN,0.1875,1,137,1.71
103,2.58,80,1.677419355,52,23.67741935,0.122406543,0,0,0,1,3,3,20,2,2,3,3,1,5,1,2,1.309264305,31,NaN,NaN,NaN,0,0,0.666666667,0.7,0,0,0.2,52,2.58
104,2.47,163,1.212121212,80,15.37878788,0.119905888,13,1,0,0,5,11,33,3,0,2,3,3,4,1,2,0.682758621,10.5,0.923076923,0,NaN,NaN,0,0.454545455,0.848484848,0,NaN,0.75,80,2.47
106,2.29,87,1.026315789,39,23.92105263,0.079165169,6,3,0,0,0,1,2,8,18,2,3,2,1,4,3,6.312431243,151,0.166666667,0,NaN,NaN,NaN,0,0.5,0.125,0.444444444,2,39,2.29
112,1.52,172,1.17699115,133,8.902654867,0.187312869,1,5,101,4,0,0,1,0,1,3,3,3,4,1,3,0.561630219,5,0,0,0.96039604,0.25,NaN,NaN,0,NaN,0,0.75,133,1.52
116,2.3,124,1.074074074,58,19.42592593,0.115686057,3,21,1,0,0,7,6,6,10,2,2,3,2,3,1,0.720686368,14,0,0.476190476,0,NaN,NaN,0.142857143,0.166666667,0.166666667,0.2,1.5,58,2.3
118,2.05,135,1.560606061,103,11.43939394,0.308089253,26,0,0,0,0,2,0,1,37,5,3,3,2,1,3,0.043708609,0.5,0.769230769,NaN,NaN,NaN,NaN,0,NaN,0,0.864864865,1.5,103,2.05
123,1.92,113,1.237288136,73,18.55932203,0.167938782,12,4,0,0,0,1,2,20,20,4,2,1,3,2,3,0.350228311,6.5,0.25,0.25,NaN,NaN,NaN,0,0,0.3,0.3,0.333333333,73,1.92
127,1.75,89,1.333333333,68,18.37254902,0.201640625,4,0,10,0,0,0,7,5,25,2,3,3,4,2,3,0.435432231,8,0.25,NaN,0.3,NaN,NaN,NaN,0.285714286,0.6,0.52,0.75,68,1.75
129,2,48,1.416666667,34,46.95833333,0.105482849,4,9,0,0,0,0,1,0,10,5,3,3,1,4,3,3.641526176,171,0.25,0.333333333,NaN,NaN,NaN,NaN,0,NaN,0.4,3,34,2
135,1.89,172,1.604395604,146,8.428571429,0.277986706,0,0,3,0,11,15,0,2,60,4,4,2,3,1,3,0.355932203,3,NaN,NaN,0,NaN,0.454545455,0.2,NaN,0.5,0.816666667,0.666666667,146,1.89
136,2.07,56,1.185185185,32,34.81481481,0.170142541,2,3,2,1,0,1,0,6,12,5,1,3,1,4,1,0.373404255,13,0,0,0,0,NaN,0,NaN,0.166666667,0.25,3,32,2.07
138,1.97,122,1,62,17.20967742,0.083496247,2,2,27,2,8,10,2,2,7,2,2,3,3,2,3,4.241799438,73,0,0,0.666666667,0,0.375,0.3,0,0.5,0.142857143,1,62,1.97
140,1.84,224,1.352459016,165,7.508196721,0.284116172,1,1,75,2,30,2,0,0,11,2,2,4,5,4,3,0.466157205,3.5,0,0,0.853333333,0,0.933333333,0,NaN,NaN,0.181818182,0.8,165,1.84
141,1.52,93,1.016393443,62,18.2295082,0.115951388,0,2,14,0,28,2,8,1,6,3,1,1,3,4,3,0.274280576,5,NaN,0,0.357142857,NaN,0.678571429,0,0.5,0,0.333333333,0.333333333,62,1.52
142,2,30,1.2,18,63.4,0.068720797,0,0,1,12,0,1,0,0,1,5,1,1,1,4,2,0.273396425,17.33333333,NaN,NaN,0,0.75,NaN,0,NaN,NaN,0,1,18,2
149,1.56,64,1.073170732,44,25.29268293,0.079146059,0,2,1,20,0,0,7,6,5,1,3,3,2,2,2,0.276759884,7,NaN,0,0,0.75,NaN,NaN,0.428571429,0.166666667,0,1.5,44,1.56
152,2.3,255,1.018018018,113,10.68468468,0.149906504,5,0,0,3,0,0,0,101,2,4,1,4,3,1,1,0.467959528,5,0.2,NaN,NaN,0,NaN,NaN,NaN,0.920792079,0,1.333333333,113,2.3
153,2.84,179,1.095238095,69,16.93650794,0.081104082,1,1,0,0,0,0,0,61,0,3,2,4,4,1,1,0.885660731,15,0,0,NaN,NaN,NaN,NaN,NaN,0.967213115,NaN,1,69,2.84
156,1.62,63,1.051282051,41,26.20512821,0.057661084,2,2,1,12,0,0,0,4,18,2,3,2,1,2,2,1.18297456,31,0,0,0,0.166666667,NaN,NaN,NaN,0,0.388888889,2,41,1.62
165,1.9,110,1.155172414,67,17.70689655,0.118616553,1,2,27,2,4,16,1,4,1,3,1,1,3,3,1,1.298928919,23,0,0,0.740740741,0.5,0,0.5,0,0,0,0.333333333,67,1.9
168,1.5,3,1.5,3,122.5,0.075630252,1,0,0,1,0,0,0,0,0,5,4,2,1,1,3,0.057142857,7,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,2,3,1.5
175,2.05,133,1.446153846,94,13.32307692,0.186676068,55,0,0,0,0,0,0,0,10,5,2,2,1,2,3,0.750577367,10,0.890909091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,2,94,2.05
180,1.4,56,1.2,48,18.4,0.138254881,0,1,24,5,0,0,0,0,10,3,2,1,4,2,2,0.543478261,10,NaN,0,0.625,0,NaN,NaN,NaN,NaN,0.2,0.25,48,1.4
184,1.92,154,1.4625,117,10.925,0.218270275,6,13,14,0,0,0,0,0,47,3,2,4,2,2,3,0.366132723,4,0,0.307692308,0.142857143,NaN,NaN,NaN,NaN,NaN,0.595744681,2,117,1.92
201,2.17,126,1.896551724,110,11.34482759,0.47404712,15,6,2,0,0,1,0,0,34,5,3,3,1,1,1,0.029381966,0.333333333,0.4,0.166666667,0,NaN,NaN,0,NaN,NaN,0.676470588,3,110,2.17
210,1.75,138,1.265822785,100,13.83544304,0.162975433,0,0,30,16,3,0,0,2,28,2,3,3,4,1,3,0.216834401,3,NaN,NaN,0.433333333,0.125,0.333333333,NaN,NaN,0,0.392857143,0.75,100,1.75
211,2.28,339,1.026845638,153,7.469798658,0.195204347,8,0,0,1,1,0,1,115,23,4,1,1,3,1,2,0.937106918,7,0,NaN,NaN,0,0,NaN,0,0.756521739,0.173913043,0.333333333,153,2.28
215,2.17,130,1.2,72,16.05,0.117378131,15,42,0,0,0,0,0,0,3,5,1,3,2,2,1,1.121495327,18,0.266666667,0.738095238,NaN,NaN,NaN,NaN,NaN,NaN,0.333333333,1.5,72,2.17
219,2.52,340,1.162962963,157,7.696296296,0.204718697,34,4,0,0,8,5,1,0,83,4,4,2,2,1,1,0.194898941,1.5,0.794117647,0.25,NaN,NaN,0.375,0,0,NaN,0.795180723,1,157,2.52
223,1.88,60,1,32,33.03125,0.077953967,14,1,5,0,1,2,0,1,8,5,3,2,1,4,1,1.483443709,49,0.357142857,0,0,NaN,0,0,NaN,0,0.125,2,32,1.88
227,2.28,162,1.028169014,73,15.5915493,0.118087339,9,3,0,4,6,15,11,6,17,4,2,4,3,1,3,0.577235772,9,0.222222222,0.333333333,NaN,0.25,0.333333333,0.266666667,0.090909091,0,0.529411765,1.333333333,73,2.28
230,2.22,204,1.010869565,93,11.66304348,0.116947472,48,0,0,0,0,0,0,5,39,4,3,2,3,1,2,0.77166822,9,0.625,NaN,NaN,NaN,NaN,NaN,NaN,0.8,0.538461538,0.666666667,93,2.22
232,2.12,51,1.791666667,43,24.5,0.152723523,8,0,0,0,5,8,0,0,3,4,1,4,2,2,3,1.285714286,31.5,0.375,NaN,NaN,NaN,0.4,0.5,NaN,NaN,0.333333333,2,43,2.12
233,2.78,128,1.065217391,49,25.15217391,0.077557901,0,0,0,0,2,15,11,17,1,5,3,3,2,1,1,0.675885912,17,NaN,NaN,NaN,NaN,0,0.733333333,0.636363636,0.705882353,0,1.5,49,2.78
241,2.3,154,1.014925373,68,16.64179104,0.081754771,1,17,0,0,3,9,9,25,3,1,3,3,3,3,2,1.442152466,24,0,0.352941176,NaN,NaN,0,0.222222222,0.111111111,0.4,0.333333333,1,68,2.3
244,2.17,13,2.833333333,17,26.16666667,0.204245453,3,0,0,0,0,0,0,3,0,3,3,3,4,2,2,0.484076433,12.66666667,0.666666667,NaN,NaN,NaN,NaN,NaN,NaN,0.666666667,NaN,0.75,17,2.17
247,2.41,65,1,27,37.03703704,0.043097618,0,3,1,0,0,0,0,12,11,5,3,2,1,1,3,0.459,17,NaN,0.666666667,0,NaN,NaN,NaN,NaN,0.5,0.545454545,2,27,2.41
249,2.31,272,1.059322034,125,9.957627119,0.131300144,1,0,0,0,0,111,0,1,5,3,3,3,4,1,2,0.602553191,6,0,NaN,NaN,NaN,NaN,0.954954955,NaN,0,0.2,0.75,125,2.31
253,1.83,33,1.111111111,20,40.83333333,0.048548716,5,3,1,2,0,2,0,0,5,5,4,2,1,1,2,1.371428571,56,0.4,0,0,0,NaN,0,NaN,NaN,0.4,2,20,1.83
254,2.76,309,1.080357143,121,9.3125,0.161260151,0,0,1,3,0,0,0,0,108,5,3,3,2,1,3,0.536912752,5,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.962962963,1.5,121,2.76
259,2.61,243,1.053763441,98,11.67741935,0.133881135,19,19,0,0,1,20,0,1,33,5,5,1,1,1,1,1.198895028,14,0.157894737,0.263157895,NaN,NaN,0,0.3,NaN,0,0.303030303,1,98,2.61
262,1.6,67,1.642857143,69,20.11904762,0.181535805,0,2,36,0,1,0,0,0,3,4,3,3,2,1,2,0.198816568,4,NaN,0,0.888888889,NaN,0,NaN,NaN,NaN,0,1.5,69,1.6
264,1.67,10,1,6,40.66666667,0.045841627,2,1,0,0,1,2,0,0,0,1,1,4,2,1,3,0.418032787,17,0,0,NaN,NaN,0,0,NaN,NaN,NaN,2,6,1.67
265,2.5,50,1,20,53.5,0.031532882,10,0,0,0,2,3,0,0,5,4,3,3,2,1,3,0.728971963,39,0.8,NaN,NaN,NaN,0,0.333333333,NaN,NaN,0.4,1.5,20,2.5
266,1.82,102,1,56,18.78571429,0.071751202,4,1,0,0,0,8,0,2,41,5,4,1,1,2,1,1.384030418,26,0,0,NaN,NaN,NaN,0.125,NaN,0,0.756097561,1,56,1.82
267,2.53,200,1.063291139,84,13.7721519,0.138799648,7,2,0,0,1,0,6,1,62,2,1,3,3,1,1,0.072610294,1,0.142857143,0,NaN,NaN,0,NaN,0.333333333,0,0.85483871,1,84,2.53
270,2.08,131,1.285714286,81,14.3968254,0.148356831,4,1,1,4,2,0,9,41,1,3,3,1,3,1,3,0.416758545,6,0,0,0,0.25,0,NaN,0,0.780487805,0,0.333333333,81,2.08
275,1.27,98,1.025974026,79,13.71428571,0.123798511,7,1,7,43,0,0,1,6,12,5,4,2,2,2,3,0.21875,3,0.428571429,0,0.428571429,0.744186047,NaN,NaN,0,0.166666667,0.25,1,79,1.27
276,1.9,97,1.431372549,73,17.29411765,0.15583975,25,1,0,0,0,3,0,1,21,5,3,3,2,1,2,1.619047619,28,0.68,0,NaN,NaN,NaN,0,NaN,0,0.619047619,1.5,73,1.9
284,1.91,82,1.162790698,50,25.04651163,0.106580375,3,7,3,1,2,0,0,2,25,4,3,2,4,1,2,0.119777159,3,0,0.142857143,0,0,0,NaN,NaN,0,0.64,0.5,50,1.91
287,2.29,16,2.428571429,17,16.85714286,0.393710528,1,1,0,0,0,0,0,0,5,4,3,4,3,1,3,0.692090395,11.66666667,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.6,1.333333333,17,2.29
289,2.05,90,1.068181818,47,21.77272727,0.084339912,2,0,0,0,2,10,1,5,24,3,2,4,5,1,2,0.459290188,10,0,NaN,NaN,NaN,0,0.4,0,0.2,0.666666667,0.8,47,2.05
294,2.85,94,1.242424242,41,26.66666667,0.072625924,2,0,0,0,0,0,0,31,0,4,4,2,2,1,2,2.4375,65,0,NaN,NaN,NaN,NaN,NaN,NaN,0.935483871,NaN,1,41,2.85
297,2.29,160,1.1,77,14.67142857,0.151208939,1,0,0,0,0,30,23,14,2,5,5,1,1,1,1,0.477117819,7,0,NaN,NaN,NaN,NaN,0.5,0.52173913,0.285714286,0,1,77,2.29
301,2.29,32,1.357142857,19,40.14285714,0.089064474,0,0,8,0,0,0,0,0,6,4,4,2,2,1,3,5.679715302,228,NaN,NaN,0.625,NaN,NaN,NaN,NaN,NaN,0.333333333,1,19,2.29
303,1.69,147,1.103448276,96,12.18390805,0.142222701,11,0,2,39,0,3,0,9,23,5,4,1,1,1,1,0.820754717,10,0.181818182,NaN,0,0.512820513,NaN,0,NaN,0.111111111,0.260869565,1,96,1.69
305,1.85,194,1.161904762,122,9.628571429,0.205969459,0,7,41,18,3,0,3,4,29,2,3,2,5,2,3,2.908011869,28,NaN,0.142857143,0.658536585,0.444444444,0.333333333,NaN,0,0,0.482758621,0.4,122,1.85
306,1.91,44,1.130434783,26,41.52173913,0.04051648,4,1,7,3,0,0,0,1,7,2,1,4,4,4,2,0.842931937,35,0.25,0,0.428571429,0,NaN,NaN,NaN,0,0.142857143,1,26,1.91
309,1.76,95,1.518518519,82,17.05555556,0.192296023,1,2,29,1,0,0,0,2,19,4,4,2,2,1,2,0.879478827,15,0,0,0.482758621,0,NaN,NaN,NaN,0,0.315789474,1,82,1.76
318,1.5,129,1.034883721,89,13.41860465,0.128546001,14,0,0,0,1,0,50,16,5,5,4,2,1,1,2,1.266897747,17,0.214285714,NaN,NaN,NaN,0,NaN,0.76,0.5625,0.2,2,89,1.5
320,2.4,355,1.054054054,156,7.297297297,0.1750792,143,0,0,0,0,0,0,5,0,5,3,3,3,1,2,0.365432099,2.666666667,0.993006993,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,156,2.4
322,1.94,33,2.235294118,38,26.11764706,0.195180061,16,0,0,0,0,0,0,1,0,3,1,2,4,2,3,0.051051051,1.333333333,0.9375,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.5,38,1.94
323,2,66,1.060606061,35,29.03030303,0.063072932,0,1,1,2,2,3,1,13,10,5,3,2,1,1,1,1.102296451,32,NaN,0,0,0,0,0.333333333,0,0.692307692,0.6,2,35,2
330,2.18,146,1.343283582,90,13.53731343,0.159522768,2,0,1,4,0,1,0,0,59,4,2,4,2,4,3,0.517089305,7,0.5,NaN,0,0.25,NaN,0,NaN,NaN,0.915254237,2,90,2.18
335,1.59,118,2.22972973,165,8.067567568,0.469145231,1,2,2,33,2,0,2,7,25,4,3,3,2,1,3,0.185929648,1.5,0,0,0,0.242424242,0,NaN,0,0.285714286,0.2,1.5,165,1.59
349,2.31,136,1.06779661,63,17.57627119,0.163566661,19,1,0,0,2,27,0,0,10,4,3,2,1,2,2,0.199132112,3.5,0.684210526,0,NaN,NaN,0.5,0.814814815,NaN,NaN,0.8,2,63,2.31
356,2.4,127,1.056603774,56,20.30188679,0.069870744,1,11,0,0,0,0,19,16,6,4,1,4,3,1,1,0.44330855,9,0,0.181818182,NaN,NaN,NaN,NaN,0.526315789,0.25,0.166666667,1.333333333,56,2.4
357,2.09,113,1.111111111,60,19.14814815,0.169811817,8,5,1,1,0,6,2,1,30,4,3,2,2,2,2,0.287234043,5.5,0.125,0,0,0,NaN,0.166666667,0,0,0.533333333,1,60,2.09
358,1.71,29,1.058823529,18,55.41176471,0.034971956,0,1,10,3,1,0,1,0,1,5,5,1,1,1,1,0.31581741,17.5,NaN,0,0.9,0.666666667,0,NaN,0,NaN,0,1,18,1.71
360,1.23,168,1.138686131,156,7.445255474,0.206120623,14,0,0,122,0,0,0,0,1,4,4,3,2,1,1,0.470098039,3.5,0.285714286,NaN,NaN,0.926229508,NaN,NaN,NaN,NaN,0,1.5,156,1.23
363,2.41,344,1.062937063,152,7.867132867,0.16696944,0,0,0,0,18,12,83,30,0,2,3,3,4,3,1,0.508444444,4,NaN,NaN,NaN,NaN,0.222222222,0.25,0.686746988,0.433333333,NaN,0.75,152,2.41
365,2,94,1.191489362,56,20.08510638,0.197888937,2,3,7,0,2,4,1,10,18,2,1,1,4,1,2,0.22404661,4.5,0,0.333333333,0,NaN,0,0,0,0.1,0.5,0.25,56,2
369,1.95,150,1.155844156,89,13.7012987,0.190295056,0,4,6,6,16,20,0,15,10,5,3,2,2,1,1,1.45971564,20,NaN,0.25,0,0.333333333,0.6875,0.55,NaN,0.6,0.4,1,89,1.95
371,2.4,334,1.021582734,142,8.345323741,0.152498031,4,3,0,1,0,2,1,128,0,4,2,4,4,3,3,0.539224138,4.5,0,0,NaN,0,NaN,0,0,0.921875,NaN,1,142,2.4
376,1.25,120,1.114583333,107,11.05208333,0.173835871,3,1,7,79,0,0,0,0,6,4,4,2,3,2,3,0.361922714,4,0,0,0,0.848101266,NaN,NaN,NaN,NaN,0.333333333,0.666666667,107,1.25
380,1.68,67,1.625,65,19.975,0.208251274,18,13,0,2,1,1,0,0,5,4,3,4,2,2,2,1.351689612,27,0.5,0.692307692,NaN,0,0,0,NaN,NaN,0.4,2,65,1.68
381,1.69,120,1.14084507,81,15.47887324,0.13201149,0,1,48,14,0,3,0,3,2,2,4,2,4,1,3,0.581437671,9,NaN,0,0.770833333,0.642857143,NaN,0.333333333,NaN,0,0,0.5,81,1.69
386,2.4,321,1.074626866,144,8.276119403,0.150480562,115,15,1,0,0,0,0,0,3,5,4,2,1,1,1,0.724977457,6,0.860869565,0.2,0,NaN,NaN,NaN,NaN,NaN,0,2,144,2.4
390,1.26,78,2.016129032,125,13.16129032,0.297947503,1,0,17,43,0,0,0,0,1,5,1,1,2,4,2,0.18995098,2.5,0,NaN,0.352941176,0.720930233,NaN,NaN,NaN,NaN,0,0.5,125,1.26
392,1.48,40,1.074074074,29,38.59259259,0.064980709,0,0,0,0,0,0,8,19,0,4,4,2,2,1,2,0.59596929,23,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0.631578947,NaN,1,29,1.48
393,2,34,1.647058824,28,41.41176471,0.101926742,0,4,4,0,0,0,0,1,8,2,1,4,3,4,2,0.301846591,12.5,NaN,0.25,0,NaN,NaN,NaN,NaN,0,0.5,1.333333333,28,2
401,2.14,171,2.2,176,10.7625,0.40613481,1,15,0,0,0,2,2,0,60,3,3,3,5,1,3,0.371660859,4,0,0.4,NaN,NaN,NaN,0.5,0.5,NaN,0.8,0.6,176,2.14
406,1.97,114,1.051724138,61,18.86206897,0.117661775,0,0,18,1,2,0,1,30,6,1,5,2,2,1,3,0.583180987,11,NaN,NaN,0.555555556,0,0.5,NaN,0,0.7,0,1,61,1.97
407,1.63,147,1,90,11.81111111,0.121113459,0,0,0,0,0,1,83,6,0,3,1,1,4,4,1,1.185324553,14,NaN,NaN,NaN,NaN,NaN,0,0.903614458,0,NaN,0.25,90,1.63
409,2.46,165,2.552238806,171,6.059701493,0.903748083,1,28,1,0,0,0,0,0,37,4,2,3,2,3,2,0.05500821,0.333333333,0,0.821428571,0,NaN,NaN,NaN,NaN,NaN,0.837837838,1.5,171,2.46
410,2.03,71,1.114285714,39,28.2,0.09777107,14,10,2,0,0,0,0,0,9,3,2,1,4,2,1,0.159574468,4.5,0.357142857,0.2,0,NaN,NaN,NaN,NaN,NaN,0.333333333,0.25,39,2.03
417,2.49,112,1.044444444,47,23.71111111,0.068569809,0,0,0,0,0,0,26,19,0,1,4,1,1,4,3,0.379568885,9,NaN,NaN,NaN,NaN,NaN,NaN,0.769230769,0.631578947,NaN,1,47,2.49
420,2.38,19,1,8,98.5,0.017599464,0,0,0,1,1,2,0,0,4,5,1,4,1,4,2,0.588832487,58,NaN,NaN,NaN,0,0,0.5,NaN,NaN,0.5,4,8,2.38
422,1.98,269,1.544117647,210,6.433823529,0.534779911,82,0,7,1,1,0,0,0,45,4,3,3,3,1,1,0.207238095,1.333333333,0.743902439,NaN,0.571428571,0,0,NaN,NaN,NaN,0.555555556,1,210,1.98
425,2.06,70,1.529411765,52,28.73529412,0.143774299,18,14,0,0,0,0,0,0,2,4,3,4,2,1,2,0.191402252,5.5,0.333333333,0.285714286,NaN,NaN,NaN,NaN,NaN,NaN,0,2,52,2.06
426,2,46,1,23,39.08695652,0.105108031,10,1,0,0,0,0,0,0,12,4,3,4,4,1,3,0.102335929,4,0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,0.666666667,1,23,2
433,2.01,143,1.028169014,73,15.35211268,0.075947127,0,0,0,0,9,3,2,56,1,2,3,4,4,1,1,0.97706422,15,NaN,NaN,NaN,NaN,0.222222222,0,0.5,0.803571429,0,1,73,2.01
434,2.03,144,1.169014085,83,13.71830986,0.204859475,36,1,0,0,1,4,1,3,25,4,2,3,4,2,3,0.437371663,6,0.611111111,0,NaN,NaN,0,0,0,0,0.4,0.75,83,2.03
440,1.55,115,1.148648649,85,13.54054054,0.17227672,4,1,19,32,0,0,1,3,14,5,3,1,1,3,2,3.027944112,41,0.25,0,0.578947368,0.53125,NaN,NaN,0,0,0.214285714,1,85,1.55
443,1.15,154,1.156716418,155,7.932835821,0.206469448,2,3,2,0,0,0,0,2,125,5,1,3,1,3,1,0.567262465,4.5,0,0.333333333,0.5,NaN,NaN,NaN,NaN,0.5,0.952,3,155,1.15
446,2.46,313,1.086614173,138,8.763779528,0.190306662,0,0,0,0,1,4,1,107,14,3,3,4,2,1,1,1.141060198,10,NaN,NaN,NaN,NaN,0,0,0,0.859813084,0.214285714,2,138,2.46
